[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/checks/async_checks.py first seen with mtime 1640538220.2866497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/sqlparse/filters/reindent.py first seen with mtime 1640538219.7626598
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/apps/registry.py first seen with mtime 1640538219.8346584
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/negotiation.py first seen with mtime 1640548651.070768
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/ntpath.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/__init__.py first seen with mtime 1640538220.2946496
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/backports/zoneinfo/_tzpath.py first seen with mtime 1640538219.7826595
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/forms/formsets.py first seen with mtime 1640538220.3106492
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1640538220.3106492
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/files/move.py first seen with mtime 1640538220.2866497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/PycharmProjects/domainAuth/domainAuth/settings.py first seen with mtime 1640607615.0905871
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/asyncio/base_events.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/exceptions.py first seen with mtime 1640548651.070768
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/utils/encoders.py first seen with mtime 1640548651.1067674
